"","City","Availability of Water","Agricultural Potential","Mining Potential","Tourism Potential","Environmental Sensitivity","Education","Income","Occupation","Health Status","Housing","latitude","longitude"
"83","Straussburg, Northern Cape",32.72559837762,36.516272818553,29.5240556395842,15.6776964683424,40.6424386260516,23.8707966471194,20.5610353865231,46.2423082024589,93.83,87.866561898478,-28.4422289,21.3281039
"84","Strydenburg, Northern Cape",25.1409976028625,35.3166515403241,48.1911923813777,54.3087129980171,37.4829112830242,31.9121856348101,21.1743173390736,26.5827121734619,94.75,97.9917644718943,-29.944282,23.675855
"85","Sutherland, Northern Cape",23.1835973537556,31.046404749917,14.5240556395842,51.7835145308758,27.560562927926,31.4209701813722,17.5471650468595,35.3207698533955,95.4,99.4985155343753,-32.393889,20.661111
"86","Ulco, Northern Cape",34.6514442835886,50.4888646947206,71.6613316032047,17.0711220110361,25.7166324923047,13.7504505174528,14.3833634705581,50.1644848028137,91.01,99.2137325518797,-28.3297222,24.2080556
"87","Upington, Northern Cape",34.5787748338622,40.2944297384335,31.462901026845,47.7558928739001,49.832460458302,42.4947543675002,28.923215812007,47.387016429092,93.83,57.8960370594924,-28.456325,21.241867
"88","Van Wyksvlei, Northern Cape",19.1001834755328,27.590221068658,24.8099881430734,17.3354983304625,72.0675435973587,13.2551113173658,27.2128870406498,24.2725146476492,95.46,99.8301546071892,-30.3513889,21.8241667
"89","Van Zylsrus, Northern Cape",22.0715394751495,33.1459956184097,28.2357707276317,40.4062768701633,57.9831465502882,18.1816904533221,21.9111191801746,22.7328813727246,90.9,99.5244601326973,-26.87696445,22.0510857757427
"90","Vanderkloof, Northern Cape",40.6808578354342,46.8064716642032,44.3235643023228,36.7301324503311,34.2563866195591,13.7343047222796,18.0084320016729,51.2968079384589,93.64,98.9519361380839,-29.998169,24.7401268
"91","Victoria West, Northern Cape",27.9466556171518,35.435580367776,29.5240556395842,63.2207803505212,41.1697835461615,31.6394738970585,22.7327420999307,35.2842897260452,94.39,94.1261952787074,-31.403055,23.120556
"92","Vioolsdrif, Northern Cape",36.2233256313859,16.3222814079761,48.9937341746994,49.3189223057644,23.2579131084514,14.9383192750318,16.5680823533179,34.7317372849071,94.92,99.6174359544447,-28.770794,17.625584
"93","Vosburg, Northern Cape",19.8381955477704,32.9415592526995,20.8616885095734,31.2524901077909,70.8071232503024,13.4442370704773,16.0424937009068,32.8818747009452,95.46,99.6279462014092,-30.575136,22.879661
"94","Warrenton, Northern Cape",42.3216296440823,57.6726470167583,82.3722801413817,17.9209434997001,52.7075952422754,33.8510698856676,27.4161525568003,37.9394046282557,90.65,90.915344859849,-28.1113889,24.8497222
"95","Wegdraai, Northern Cape",36.4120188139969,42.0619463587773,31.2183464627854,30.7142857142857,48.6169163714642,13.734437696443,25.8131345627654,23.6832059486625,95.19,94.5271980702288,-28.8368766,21.866677
"96","Williston, Northern Cape",23.9543550046194,22.3006918853338,29.5240556395842,40.4400385067308,45.1421505253185,33.2181483130315,19.9607388645399,35.6224942375246,95.4,99.8660691310916,-31.33903,20.916172
"97","Windsorton, Northern Cape",42.5236204690733,55.6505019489307,74.8984968418521,31.2343430208759,36.061337816906,11.4537098202813,24.473377018702,29.3191092701559,91.01,97.155239883331,-28.3322222,24.7161111
